"Archivo","OK","FaltanSecciones","FaltanMetadatos","EspaciadoEncabezadosOK","TienePlaceholder","RequiereNotaSoporteW10"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\almacenamiento\windows-10-disco-lleno.md","False","","","False","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\almacenamiento\windows-11-disco-lleno.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\audio\linux-audio-no-funciona.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\audio\windows-10-no-hay-sonido.md","False","","","False","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\audio\windows-11-no-hay-sonido.md","False","","id | category | os | component | difficulty | severity | source_type | updated_at | version | tags","False","True","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\bluetooth\windows-10-bluetooth-no-empareja.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\bluetooth\windows-11-bluetooth-no-empareja.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\drivers\linux-driver-incompatible.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\drivers\windows-10-driver-incompatible.md","False","","","False","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\drivers\windows-11-driver-incompatible.md","False","","id | category | os | component | difficulty | severity | source_type | updated_at | version | tags","False","True","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\impresoras\windows-10-impresora-offline.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\impresoras\windows-11-impresora-offline.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\perifericos\windows-10-teclado-no-responde.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\perifericos\windows-11-teclado-no-responde.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\redes\linux-wifi-no-conecta.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\redes\windows-10-wifi-no-conecta.md","False","","","False","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\redes\windows-11-wifi-no-conecta.md","False","","id | category | os | component | difficulty | severity | source_type | updated_at | version | tags","False","True","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\rendimiento\windows-10-pc-lenta.md","False","","","False","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\rendimiento\windows-11-pc-lenta.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\software\windows-10-app-no-abre.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\software\windows-11-app-no-abre.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\video\linux-pantalla-negra.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\video\windows-10-pantalla-negra.md","False","","","False","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\video\windows-11-pantalla-negra.md","False","","id | category | os | component | difficulty | severity | source_type | updated_at | version | tags","False","True","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\windows\windows-10-update-error-comun.md","True","","","True","False","False"
"D:\dev\guyunusa-IA\knowledge\soporte-tecnico\windows\windows-update-error-comun.md","True","","","True","False","False"
